fips,state,cty,crop,unit,bchmk,bchmk_prc,act_yld,nat_prc,year
01001,Alabama,Autauga,Barley,Bushel,67.00,5.64,40.00,4.96,2016
01015,Alabama,Calhoun,Barley,Bushel, , , , ,2016
01019,Alabama,Cherokee,Barley,Bushel, , , , ,2016
01043,Alabama,Cullman,Barley,Bushel, , , , ,2016
01049,Alabama,Dekalb,Barley,Bushel,67.00,5.64,50.00,4.96,2016
01055,Alabama,Etowah,Barley,Bushel, , , , ,2016
01059,Alabama,Franklin,Barley,Bushel,64.00,5.64,40.00,4.96,2016
01071,Alabama,Jackson,Barley,Bushel,67.00,5.64,40.00,4.96,2016
01077,Alabama,Lauderdale,Barley,Bushel,67.00,5.64,40.00,4.96,2016
01079,Alabama,Lawrence,Barley,Bushel,67.00,5.64,40.00,4.96,2016
01083,Alabama,Limestone,Barley,Bushel,67.00,5.64,40.00,4.96,2016
01089,Alabama,Madison,Barley,Bushel,67.00,5.64,40.00,4.96,2016
01095,Alabama,Marshall,Barley,Bushel,67.00,5.64,40.00,4.96,2016
01101,Alabama,Montgomery,Barley,Bushel,67.00,5.64,40.00,4.96,2016
01103,Alabama,Morgan,Barley,Bushel,67.00,5.64,40.00,4.96,2016
04003,Arizona,Cochise,Barley,Bushel, , , , ,2016
04012,Arizona,La Paz,Barley,Bushel, , , , ,2016
04013,Arizona,Maricopa,Barley,Bushel,118.00,5.64,127.00,4.96,2016
04027,Arizona,Yuma,Barley,Bushel,115.00,5.64,128.00,4.96,2016
05021,Arkansas,Clay,Barley,Bushel,58.00,5.64,78.00,4.96,2016
05049,Arkansas,Fulton,Barley,Bushel,58.00,5.64,78.00,4.96,2016
06001,California,Alameda,Barley,Bushel,46.00,5.64,65.00,4.96,2016
06005,California,Amador,Barley,Bushel,61.00,5.64,65.00,4.96,2016
06011,California,Colusa,Barley,Bushel,60.00,5.64,65.00,4.96,2016
06013,California,Contra Costa,Barley,Bushel,37.00,5.64,65.00,4.96,2016
06019,California,Fresno,Barley,Bushel,50.00,5.64,65.00,4.96,2016
06021,California,Glenn,Barley,Bushel,25.00,5.64,32.00,4.96,2016
06025,California,Imperial,Barley,Bushel, , , , ,2016
06029,California,Kern,Barley,Bushel,13.00,5.64,32.00,4.96,2016
06031,California,Kings,Barley,Bushel,16.00,5.64,32.00,4.96,2016
06035,California,Lassen,Barley,Bushel,93.00,5.64,65.00,4.96,2016
06047,California,Merced,Barley,Bushel,19.00,5.64,32.00,4.96,2016
06049,California,Modoc,Barley,Bushel,103.00,5.64,124.00,4.96,2016
06053,California,Monterey,Barley,Bushel,23.00,5.64,50.00,4.96,2016
06065,California,Riverside,Barley,Bushel,13.00,5.64,32.00,4.96,2016
06067,California,Sacramento,Barley,Bushel,60.00,5.64,65.00,4.96,2016
06069,California,San Benito,Barley,Bushel,32.00,5.64,65.00,4.96,2016
06077,California,San Joaquin,Barley,Bushel,25.00,5.64,32.00,4.96,2016
06089,California,Shasta,Barley,Bushel,80.00,5.64,65.00,4.96,2016
06093,California,Siskiyou,Barley,Bushel,89.00,5.64,94.00,4.96,2016
06095,California,Solano,Barley,Bushel,56.00,5.64,65.00,4.96,2016
06099,California,Stanislaus,Barley,Bushel, , , , ,2016
06101,California,Sutter,Barley,Bushel,60.00,5.64,65.00,4.96,2016
06103,California,Tehama,Barley,Bushel,60.00,5.64,65.00,4.96,2016
06107,California,Tulare,Barley,Bushel,17.00,5.64,32.00,4.96,2016
06113,California,Yolo,Barley,Bushel,31.00,5.64,32.00,4.96,2016
06115,California,Yuba,Barley,Bushel, , , , ,2016
08001,Colorado,Adams,Barley,Bushel,28.00,5.64,34.00,4.96,2016
08003,Colorado,Alamosa,Barley,Bushel,132.00,5.64,138.00,4.96,2016
08005,Colorado,Arapahoe,Barley,Bushel,35.00,5.64,51.00,4.96,2016
08009,Colorado,Baca,Barley,Bushel,37.00,5.64,51.00,4.96,2016
08011,Colorado,Bent,Barley,Bushel,64.00,5.64,51.00,4.96,2016
08013,Colorado,Boulder,Barley,Bushel,96.00,5.64,101.00,4.96,2016
08017,Colorado,Cheyenne,Barley,Bushel,56.00,5.64,51.00,4.96,2016
08021,Colorado,Conejos,Barley,Bushel,126.00,5.64,136.00,4.96,2016
08025,Colorado,Crowley,Barley,Bushel,59.00,5.64,51.00,4.96,2016
08027,Colorado,Custer,Barley,Bushel,47.00,5.64,51.00,4.96,2016
08029,Colorado,Delta,Barley,Bushel,121.00,5.64,51.00,4.96,2016
08033,Colorado,Dolores,Barley,Bushel,78.00,5.64,92.00,4.96,2016
08035,Colorado,Douglas,Barley,Bushel,29.00,5.64,51.00,4.96,2016
08039,Colorado,Elbert,Barley,Bushel,57.00,5.64,51.00,4.96,2016
08045,Colorado,Garfield,Barley,Bushel,69.00,5.64,92.00,4.96,2016
08055,Colorado,Huerfano,Barley,Bushel,57.00,5.64,51.00,4.96,2016
08061,Colorado,Kiowa,Barley,Bushel,42.00,5.64,51.00,4.96,2016
08063,Colorado,Kit Carson,Barley,Bushel,43.00,5.64,51.00,4.96,2016
08067,Colorado,La Plata,Barley,Bushel,63.00,5.64,92.00,4.96,2016
08069,Colorado,Larimer,Barley,Bushel,88.00,5.64,98.00,4.96,2016
08071,Colorado,Las Animas,Barley,Bushel,64.00,5.64,51.00,4.96,2016
08073,Colorado,Lincoln,Barley,Bushel,59.00,5.64,51.00,4.96,2016
08075,Colorado,Logan,Barley,Bushel,84.00,5.64,102.00,4.96,2016
08077,Colorado,Mesa,Barley,Bushel,121.00,5.64,92.00,4.96,2016
08081,Colorado,Moffat,Barley,Bushel,47.00,5.64,92.00,4.96,2016
08083,Colorado,Montezuma,Barley,Bushel,78.00,5.64,92.00,4.96,2016
08085,Colorado,Montrose,Barley,Bushel,121.00,5.64,92.00,4.96,2016
08087,Colorado,Morgan,Barley,Bushel,29.00,5.64,34.00,4.96,2016
08089,Colorado,Otero,Barley,Bushel,64.00,5.64,51.00,4.96,2016
08095,Colorado,Phillips,Barley,Bushel,77.00,5.64,51.00,4.96,2016
08099,Colorado,Prowers,Barley,Bushel,64.00,5.64,51.00,4.96,2016
08101,Colorado,Pueblo,Barley,Bushel,55.00,5.64,51.00,4.96,2016
08103,Colorado,Rio Blanco,Barley,Bushel,48.00,5.64,92.00,4.96,2016
08105,Colorado,Rio Grande,Barley,Bushel,144.00,5.64,147.00,4.96,2016
08107,Colorado,Routt,Barley,Bushel,48.00,5.64,92.00,4.96,2016
08109,Colorado,Saguache,Barley,Bushel,139.00,5.64,134.00,4.96,2016
08115,Colorado,Sedgwick,Barley,Bushel,84.00,5.64,102.00,4.96,2016
08121,Colorado,Washington,Barley,Bushel,36.00,5.64,34.00,4.96,2016
08123,Colorado,Weld,Barley,Bushel,92.00,5.64,112.00,4.96,2016
