fips,state,cty,crop,unit,bchmk,bchmk_prc,act_yld,nat_prc,year
01001,Alabama,Autauga,Barley,Bushel,66.00,5.57,64.00,5.52,2015
01015,Alabama,Calhoun,Barley,Bushel,,,,,2015
01019,Alabama,Cherokee,Barley,Bushel,,,,,2015
01043,Alabama,Cullman,Barley,Bushel,,,,,2015
01049,Alabama,Dekalb,Barley,Bushel,66.00,5.57,64.00,5.52,2015
01055,Alabama,Etowah,Barley,Bushel,,,,,2015
01059,Alabama,Franklin,Barley,Bushel,62.00,5.57,64.00,5.52,2015
01071,Alabama,Jackson,Barley,Bushel,66.00,5.57,64.00,5.52,2015
01077,Alabama,Lauderdale,Barley,Bushel,66.00,5.57,64.00,5.52,2015
01079,Alabama,Lawrence,Barley,Bushel,66.00,5.57,64.00,5.52,2015
01083,Alabama,Limestone,Barley,Bushel,66.00,5.57,64.00,5.52,2015
01089,Alabama,Madison,Barley,Bushel,66.00,5.57,64.00,5.52,2015
01095,Alabama,Marshall,Barley,Bushel,66.00,5.57,64.00,5.52,2015
01101,Alabama,Montgomery,Barley,Bushel,66.00,5.57,64.00,5.52,2015
01103,Alabama,Morgan,Barley,Bushel,66.00,5.57,64.00,5.52,2015
04003,Arizona,Cochise,Barley,Bushel,,,,,2015
04012,Arizona,La Paz,Barley,Bushel,,,,,2015
04013,Arizona,Maricopa,Barley,Bushel,121.00,5.57,108.00,5.52,2015
04027,Arizona,Yuma,Barley,Bushel,115.00,5.57,99.00,5.52,2015
05021,Arkansas,Clay,Barley,Bushel,49.00,5.57,69.00,5.52,2015
05049,Arkansas,Fulton,Barley,Bushel,49.00,5.57,69.00,5.52,2015
06001,California,Alameda,Barley,Bushel,45.00,5.57,44.00,5.52,2015
06005,California,Amador,Barley,Bushel,66.00,5.57,35.00,5.52,2015
06011,California,Colusa,Barley,Bushel,60.00,5.57,66.00,5.52,2015
06013,California,Contra Costa,Barley,Bushel,39.00,5.57,35.00,5.52,2015
06019,California,Fresno,Barley,Bushel,48.00,5.57,41.00,5.52,2015
06021,California,Glenn,Barley,Bushel,25.00,5.57,22.00,5.52,2015
06025,California,Imperial,Barley,Bushel,,,,,2015
06029,California,Kern,Barley,Bushel,13.00,5.57,22.00,5.52,2015
06031,California,Kings,Barley,Bushel,15.00,5.57,22.00,5.52,2015
06035,California,Lassen,Barley,Bushel,92.00,5.57,98.00,5.52,2015
06047,California,Merced,Barley,Bushel,19.00,5.57,22.00,5.52,2015
06049,California,Modoc,Barley,Bushel,107.00,5.57,99.00,5.52,2015
06053,California,Monterey,Barley,Bushel,31.00,5.57,20.00,5.52,2015
06065,California,Riverside,Barley,Bushel,13.00,5.57,22.00,5.52,2015
06067,California,Sacramento,Barley,Bushel,60.00,5.57,66.00,5.52,2015
06069,California,San Benito,Barley,Bushel,34.00,5.57,35.00,5.52,2015
06077,California,San Joaquin,Barley,Bushel,27.00,5.57,22.00,5.52,2015
06089,California,Shasta,Barley,Bushel,80.00,5.57,44.00,5.52,2015
06093,California,Siskiyou,Barley,Bushel,86.00,5.57,86.00,5.52,2015
06095,California,Solano,Barley,Bushel,56.00,5.57,66.00,5.52,2015
06099,California,Stanislaus,Barley,Bushel,,,,,2015
06101,California,Sutter,Barley,Bushel,60.00,5.57,66.00,5.52,2015
06103,California,Tehama,Barley,Bushel,60.00,5.57,66.00,5.52,2015
06107,California,Tulare,Barley,Bushel,17.00,5.57,22.00,5.52,2015
06113,California,Yolo,Barley,Bushel,48.00,5.57,22.00,5.52,2015
06115,California,Yuba,Barley,Bushel,,,,,2015
08001,Colorado,Adams,Barley,Bushel,26.00,5.57,32.00,5.52,2015
08003,Colorado,Alamosa,Barley,Bushel,132.00,5.57,145.00,5.52,2015
08005,Colorado,Arapahoe,Barley,Bushel,28.00,5.57,48.00,5.52,2015
08009,Colorado,Baca,Barley,Bushel,31.00,5.57,48.00,5.52,2015
